113	35
111	10
112	60
111	11
112	62
111	17
111	18
111	19
113	59
111	3
111	1
19	0
112	61
101	123
113	59
111	3
111	1
19	1
112	61
101	200
113	59
111	1
15	2
113	44
5	3
113	44
5	4
112	61
101	432
113	44
5	5
113	44
5	6
112	61
5	4
113	44
5	7
113	44
5	8
113	44
5	9
113	44
5	10
113	59
111	1
17	11
113	91
101	6
113	93
113	59
111	1
111	9
113	40
113	41
113	123
111	14
112	207
113	34
113	34
105	0
112	207
5	4
113	59
111	13
112	206
5	10
113	59
5	4
112	61
5	5
112	42
101	3
112	43
5	4
112	47
101	2
113	59
17	11
113	91
101	4
113	93
112	61
101	100
113	59
111	4
113	40
5	4
112	201
5	5
112	43
5	4
113	41
5	4
112	61
19	0
112	43
101	12
113	59
111	5
113	123
5	6
112	61
101	13
113	59
5	7
112	61
101	14
113	59
113	125
111	4
113	40
5	7
112	202
101	11
113	41
111	6
113	40
5	8
112	202
101	22
112	205
5	9
112	62
101	33
113	41
5	4
112	61
5	4
112	45
101	66
113	59
111	5
111	4
113	40
5	7
112	62
101	88
113	41
5	7
112	61
101	99
113	59
111	5
5	7
112	61
101	111
113	59
111	4
113	40
5	3
112	201
101	225
112	204
15	2
112	60
101	333
112	205
15	2
112	62
101	444
112	204
5	6
112	203
101	555
113	41
15	2
112	61
101	1001
113	59
111	5
15	2
112	61
101	1002
113	59
17	11
113	91
101	4
113	93
112	61
101	100
113	59
5	4
112	61
5	5
112	42
101	3
112	43
5	4
112	47
101	2
111	14
112	207
113	34
113	34
105	1
112	207
5	4
113	59
111	13
112	206
5	10
113	59
111	16
101	0
113	59
113	125
